id,seller_username,category_id_seller,category_id_buyer,quantity,status,round,offline_round
1244,a202500620079,7aa78fc500bf46578fbf9b5c70022703,3296fc91e7264cb18fed3d2cf97f5a10,1,PUBLISHED,3,
1245,a202400620072,b9abeaa4cc5e48cc98db0cdb39d9796a,ded727113b704d878d1aec1bd52b1185,1,UNPUBLISHED,3,4
1246,a202300800004,3a765ec1376e401ba8b48c7eab30456e,8ce08cc5c13545d1a2cae5f618780a96,1,UNPUBLISHED,3,4
1247,a202500620226,78e0448262ea4d8f9687f43787b64f59,851194b7a3a447c59e7a0185cbd4fe14,1,PUBLISHED,3,
1248,b202500620270,670ce7f19dca40b6a4abb01e91c3a369,0dfb4f43c53046328d8ac9c572d38298,1,UNPUBLISHED,3,3
1249,a202500620273,fcb0c7dc0e0c48b78e8bef1aa8284835,05c512d281074a1bb72609cf52b7c980,1,UNPUBLISHED,3,4
1250,a202300630200,8ba2115ca1004597ae726c7afcafc24e,2d6e9b506f0a4c69b500aa7b216a4d90,1,UNPUBLISHED,3,4
1251,b202500620298,e3c4254b68d3443db26c880689f88772,b0922354748b40d6b2a3ee43094ba5bb,1,UNPUBLISHED,3,4
1252,a202400810181,d40cbf9483924c83ae34997c7fe7eacc,4ae75e0292c143eba081e97d2b77013c,1,UNPUBLISHED,3,4
1253,a202500620324,23e2b0003e8e4a39b192d7184df72a61,c504ff2b3457466dbd3732f233d33a8b,1,UNPUBLISHED,3,3
1254,a202300620417,42b335b230be41898b1fd431ebe2f4df,1a5514bbad9a4e4193e10c666e01f793,1,UNPUBLISHED,3,5
1255,b202500620251,835644f5165348458ec464f88620ff6a,44449d2fbb38403fa26a0d7033ac6360,1,UNPUBLISHED,3,4
1256,a202300630171,b62adfc92614471799de9515aa667949,4fa72c424c2f442cbc59dd9cf2a8025f,1,UNPUBLISHED,3,4
1257,a202300620066,6bca6fc81a234ffb9e1c37903465084c,a0fc1725da284370bcacd2f08d4b0bfc,1,UNPUBLISHED,3,4
1258,a202300800022,4e8e9e48ccc34b98b7a03a06aebbd8df,ac0dc237cef544d493b9a980ea9dd9cb,1,PUBLISHED,3,
1259,a202200800529,6fbbd388a29340a5b7f4e80bdbf60232,01e5983354b84f2a9aa6be0478729d9c,1,UNPUBLISHED,3,4
1260,a202400800501,a3dec7d31eb84c8093f0f01a5456a2d9,4aaaf0736a1a49ada910c4ae964c6424,1,UNPUBLISHED,3,4
1261,b202300630074,f6ec4e25f000431f8d5e5621a0a4a86a,e1ec0d5b7d064ae9a34f6921a041a584,1,UNPUBLISHED,3,4
1262,a202500620273,eebe21602fe14e138787c3cf18779f40,62818fb7c276405faa41ae3e67969544,1,UNPUBLISHED,3,4
1263,a202400640003,aed39f6502324cbf9e1f8d045c74143c,6153f4f6851945839144da1b10764415,1,UNPUBLISHED,3,3
1264,a202537670,c6d854b9b3ff426f955cbc1f3861db73,15202244a3c541789a4f6c10bc504921,1,UNPUBLISHED,3,4
1265,a202300630209,f9922b4d76c34e458df01773a487d390,311ca4c93aec4499886a9aa601c44356,1,UNPUBLISHED,3,4
1266,a202300800004,75804bb6563f4216b2c1f30e205b041c,c2b031fbf7714be691107fef70be1ed8,1,UNPUBLISHED,3,3
1267,a202500620226,32e5744eb62f4f098456f49c64eecf18,4d7b3261e9db4e18b27a5c0cfc9c2eb6,1,PUBLISHED,3,
1268,a202300620417,da85e79486344d818f4eb993095b7d5c,d61a7178c19b47e9a9b7540be465f891,1,UNPUBLISHED,3,4
1269,a202500800390,845c0ff61dc8447daec6f806cbab1cc8,67fff44fa0374ed6ab04e574c663311d,1,PUBLISHED,3,
1270,b202300620274,1bf2ce2fb81f40939e73d013b7b9af53,267b7bed3946471d9f427a4589b49e94,1,UNPUBLISHED,3,4
1271,b202300630252,fcb0c7dc0e0c48b78e8bef1aa8284835,c860aea10d6748f888b591464c5443d3,1,UNPUBLISHED,3,4
1272,b202100630041,845aa1cf19c94871bc199029287145fc,41277967573e4742a0395154ed935680,1,UNPUBLISHED,3,4
1273,b202537671,c34fd47d91c44fc2bab2662d73c0ae59,5a529fc4537c47549888457026cff5a6,1,UNPUBLISHED,3,3
1274,b202300630031,bb691531861f4b9bb2ecf222ab39b57f,7fa9e1878e904d62ad3d011ce2f2089d,1,UNPUBLISHED,3,3
1275,b202437715,75aabe1443cd4dcb985b0534d4a7fb8e,6026b0712c3a4fa1aaaabe3387c05008,1,UNPUBLISHED,3,4
1276,b202300630048,330fca017cba4aff99ab3ba2b818203f,fc5fe2e05d95448a949c432ab99bfd35,1,UNPUBLISHED,3,3
1277,a202300620157,764265ac9d8d441b90297252f4b163d8,aa19229c5f9f45c48fe4e444fd7ba352,1,UNPUBLISHED,3,4
1278,b202300630176,103a710d0d5c499cb0798edd5342849b,b4f3aa145b9e49c0ad7cfd49dd7883bc,1,UNPUBLISHED,3,4
1279,a202500620273,fd40a13b683245e9a75d90cc9b289675,5d1267158af94c519924a9cf2119a36f,1,UNPUBLISHED,3,5
1280,b202400620304,a09b80461233440c91af83784aecb8da,0cdd3b4e4fbe4d468d50381f1044411e,1,UNPUBLISHED,3,4
1281,a202300800022,d46949401e544bc09363b1fc2588723b,d81c3b75165841bc8fbc77f908ead9c9,1,UNPUBLISHED,3,4
1282,b202500620298,49d64e5a30744da5aef71d122871c937,3e2894fd047644a7af6594b7cebe3322,1,PUBLISHED,3,
1283,b202300620274,839d5a9bd8b1468ab0587f9eddaad99a,ace1aa65d6a04103a807b5df115bcc25,1,UNPUBLISHED,3,3
1284,b202300630074,4156b596bf6549629ad727b9a53b4562,439c8e0e1fc243188a4989e1b7ade433,1,UNPUBLISHED,3,4
1285,b202300630186,4012404fa8954694b6982310aa743e0f,0d8fb4e34de44b8899d67bbb6372b571,1,UNPUBLISHED,3,6
1286,a202400620072,7f47d06ee5d146c297f7ac3c05848386,f5ee7055c15e4a3eb02236a4b10c55c1,1,UNPUBLISHED,3,4
1287,b202500620060,91c3d8696493419ba323dba15b2aa87a,0984fb7934234cd7ae5e3a892693a4d2,1,UNPUBLISHED,3,4
1288,b202537671,cae11bdbf101460c80955093f7795803,93fafe554a5446bfbde4d35b3601a16e,1,UNPUBLISHED,3,3
1289,a202500620164,9fe71546f069486e86622c5625963389,fb3b4530931c434a9e0bdfba9bd47a33,1,UNPUBLISHED,3,3
1290,b202500620363,bcc486a366634f5e845f33a985246187,3e6f02658fcb4cfea775dc6ad120514c,1,UNPUBLISHED,3,4
1291,a202500620079,ed5c9a21766b41289392c5acd3fa7a3b,2908fbfd0408442e8ee2421275646ff2,1,UNPUBLISHED,3,4
1292,a202300630200,9632b99445484c698eda31c09f53cd43,e6bd07b65046407883c96cfc992daae5,1,UNPUBLISHED,3,3
1293,a202537670,c566cca2a69042c8b3635a419f11917d,4fd0cc44bbaa464d8e38fd253f750af1,1,UNPUBLISHED,3,4
1294,b202500620241,69bbde3a72974a4aacd34198fbe9fa12,e331810876fc42e8a6cf4dd99e820250,1,UNPUBLISHED,3,3
1295,b202500620113,11432c3b9d1e44348c0b5f03083ddef8,5bc27b451f5346f79ee4e7ecd4c6236d,1,UNPUBLISHED,3,3
1296,b202400820061,a64660526dd148878d5ba5f879174f69,a60657c4784e4b42b830b37d08d8766f,1,UNPUBLISHED,3,4
1297,b202300620004,ce5764414dad45228f291f8bbca1f9e4,b5eefa861ba94af19d0ba42500ea61f2,1,UNPUBLISHED,3,4
1298,a202300630126,13e94ebcf9814bf988733e52812911aa,3202066ed0cc498c98dbf62e02118800,1,UNPUBLISHED,3,4
1299,b202500620270,156d9f8c92634da8b29a0c98776fab1d,c45d8adf1bf8405f969f987b45bbd685,1,UNPUBLISHED,3,4
1300,a202300620066,94350cb0a3ef4c6594d710bf3e4795b9,aba74d4bb8c04736bde21536a862ff46,1,UNPUBLISHED,3,3
1301,a202500620226,701e6235f5c14166991e54abdd54703d,18b08b32a16b4916a9d5c1270ac17c57,1,UNPUBLISHED,3,4
1302,a202400630023,b8cb92d2fd6c46f0b8d4359a6e865f1f,5f882801248d43ebb0d86298491c4c79,1,UNPUBLISHED,3,4
1303,a202500620315,1641356eb1be4f4fabb777fcd821d456,7dcf0283ea4144d786484f91c4f58086,1,UNPUBLISHED,3,3
1304,b202500620184,179b89388ac7450b970bc0646760249d,7879672966374b4c85d4919b30cf0225,1,UNPUBLISHED,3,3
1305,a202300800022,1e40fb1845eb4d0aad04a15bfd98a7f1,58e65242e4314fb9b6970f3912e7e1fc,1,UNPUBLISHED,3,6
1306,a202300620417,f1869819aece470d905eae1b9b8570b0,38b01d1baf9b47f9807aec8391f38a13,1,UNPUBLISHED,3,4
1307,a202400630081,1758fcd2971245e785da52cb09f48979,f95701615ca2483591b0834f9f18be24,1,UNPUBLISHED,3,3
1308,a202537670,a04c6375be0142a9863cf7ccb0479696,7fc0c4013db446ac9b66cab96034cc93,1,UNPUBLISHED,3,4
1309,a202300620066,071f86f9a5c049dfad51cd962a7c9240,51b451ef69f94d69a122c816f0409a70,1,UNPUBLISHED,3,3
1310,b202300630031,22a9ba54e3a848d199a5a4b942723439,b7bc2c49036441c5a7d0c102d03999c0,1,UNPUBLISHED,3,3
1311,b202537674,d6fb3de0ccf946419462e4d4e27e4a7f,a64519a51be3429c81568d9e0637a4b0,1,UNPUBLISHED,3,4
1312,b202100630041,ed5c9a21766b41289392c5acd3fa7a3b,b9548cd29dd443f8b606bc0d101fcb90,1,UNPUBLISHED,3,3
1313,a202400620158,1641356eb1be4f4fabb777fcd821d456,3703856a0e7f418fa93a528068c04d8c,1,UNPUBLISHED,3,4
1314,b202500620251,c7b00a3b8ba3441198a4cf1da4c893c0,0ff629e6a3d046ea80c994380da1a4f3,1,UNPUBLISHED,3,4
1315,a202500810212,531ede24e0054f848b10212b828e95ce,630516f0535d440b977a0053560df4dc,1,UNPUBLISHED,3,4
1316,b202100630238,cd6aacad51df4fb08bc52c3d7cdbd250,1a98d890c5ab44828cca8ae7216be50e,1,UNPUBLISHED,3,4
1317,b202500610001,47d91e1bf9af4e98b2436ae920df595f,b983f61e351f4fe6b7e300c1c0933cf3,1,UNPUBLISHED,3,4
1318,a202300630209,9110bee2182042b9abc658cfcd73b87c,0592ddb238894b7e831be6b276150b8d,1,UNPUBLISHED,3,4
1319,b202400630111,fba0e24adb1d4313898e10e8bd7b6b2e,02e73e4b80f64a2d901ebce1e6d68e48,1,UNPUBLISHED,3,3
1320,a202500620164,0052b1b87b4a4d5fad725b9000a8c8a8,d36ce2eb063648d09d9cf43d71a4e2e3,1,UNPUBLISHED,3,3
1321,b202500620241,95d0f0b5f77e46d0813a9ac09ab8ccb1,14a9c6847f724750b593357af8e7dd29,1,UNPUBLISHED,3,4
1322,a202400640003,619aa4f908f74e13a4a27bc0d5de661b,48afb27d0de74d8382ee68671458572a,1,UNPUBLISHED,3,4
1323,b202500620113,e40e487725964c1ebdaa1f137f66c49f,9e3afe1b99ba4b57915716e1f77fa647,1,UNPUBLISHED,3,4
1324,b202300620355,b3b8d82b757e4ba38fa0fd340309c7af,8359d003532343c298c5bae3ee8665b1,1,UNPUBLISHED,3,4
